BedrijfstakkenBranchesSBI2008_code;BedrijfstakkenBranchesSBI2008_title;Perioden_code;Perioden_title;Measure;Unit;Value
"350000";"F Bouwnijverheid";"2015MM07";"2015 juli";"Vacature-indicator";"%";1.1
"307500";"C Industrie";"2015MM07";"2015 juli";"Vacature-indicator";"%";0.63
"T001081";"A-U Alle economische activiteiten";"2015MM07";"2015 juli";"Vacature-indicator";"%";0.31
"300007";"G-N Commerciële dienstverlening";"2015MM08";"2015 augustus";"Vacature-indicator";"%";0.26
"350000";"F Bouwnijverheid";"2015MM08";"2015 augustus";"Vacature-indicator";"%";1.05
"307500";"C Industrie";"2015MM08";"2015 augustus";"Vacature-indicator";"%";0.67
"T001081";"A-U Alle economische activiteiten";"2015MM08";"2015 augustus";"Vacature-indicator";"%";0.35
"300007";"G-N Commerciële dienstverlening";"2015MM09";"2015 september";"Vacature-indicator";"%";0.3
"350000";"F Bouwnijverheid";"2015MM09";"2015 september";"Vacature-indicator";"%";1.02
"307500";"C Industrie";"2015MM09";"2015 september";"Vacature-indicator";"%";0.69
"T001081";"A-U Alle economische activiteiten";"2015MM09";"2015 september";"Vacature-indicator";"%";0.38
"300007";"G-N Commerciële dienstverlening";"2015MM10";"2015 oktober";"Vacature-indicator";"%";0.32
"350000";"F Bouwnijverheid";"2015MM10";"2015 oktober";"Vacature-indicator";"%";1
"307500";"C Industrie";"2015MM10";"2015 oktober";"Vacature-indicator";"%";0.7
"T001081";"A-U Alle economische activiteiten";"2015MM10";"2015 oktober";"Vacature-indicator";"%";0.4
"300007";"G-N Commerciële dienstverlening";"2015MM11";"2015 november";"Vacature-indicator";"%";0.32
"350000";"F Bouwnijverheid";"2015MM11";"2015 november";"Vacature-indicator";"%";1.01
"307500";"C Industrie";"2015MM11";"2015 november";"Vacature-indicator";"%";0.68
"T001081";"A-U Alle economische activiteiten";"2015MM11";"2015 november";"Vacature-indicator";"%";0.39
"300007";"G-N Commerciële dienstverlening";"2015MM12";"2015 december";"Vacature-indicator";"%";0.31
"350000";"F Bouwnijverheid";"2015MM12";"2015 december";"Vacature-indicator";"%";1.05
"307500";"C Industrie";"2015MM12";"2015 december";"Vacature-indicator";"%";0.62
"T001081";"A-U Alle economische activiteiten";"2015MM12";"2015 december";"Vacature-indicator";"%";0.39
"300007";"G-N Commerciële dienstverlening";"2016MM01";"2016 januari";"Vacature-indicator";"%";0.33
"350000";"F Bouwnijverheid";"2016MM01";"2016 januari";"Vacature-indicator";"%";1.11
"307500";"C Industrie";"2016MM01";"2016 januari";"Vacature-indicator";"%";0.56
"T001081";"A-U Alle economische activiteiten";"2016MM01";"2016 januari";"Vacature-indicator";"%";0.4
"300007";"G-N Commerciële dienstverlening";"2016MM02";"2016 februari";"Vacature-indicator";"%";0.35
"350000";"F Bouwnijverheid";"2016MM02";"2016 februari";"Vacature-indicator";"%";1.17
"307500";"C Industrie";"2016MM02";"2016 februari";"Vacature-indicator";"%";0.5
"T001081";"A-U Alle economische activiteiten";"2016MM02";"2016 februari";"Vacature-indicator";"%";0.42
"300007";"G-N Commerciële dienstverlening";"2016MM03";"2016 maart";"Vacature-indicator";"%";0.37
"350000";"F Bouwnijverheid";"2016MM03";"2016 maart";"Vacature-indicator";"%";1.24
"307500";"C Industrie";"2016MM03";"2016 maart";"Vacature-indicator";"%";0.47
"T001081";"A-U Alle economische activiteiten";"2016MM03";"2016 maart";"Vacature-indicator";"%";0.43
"300007";"G-N Commerciële dienstverlening";"2016MM04";"2016 april";"Vacature-indicator";"%";0.39
"350000";"F Bouwnijverheid";"2016MM04";"2016 april";"Vacature-indicator";"%";1.3
"307500";"C Industrie";"2016MM04";"2016 april";"Vacature-indicator";"%";0.46
"T001081";"A-U Alle economische activiteiten";"2016MM04";"2016 april";"Vacature-indicator";"%";0.46
"300007";"G-N Commerciële dienstverlening";"2016MM05";"2016 mei";"Vacature-indicator";"%";0.4
"350000";"F Bouwnijverheid";"2016MM05";"2016 mei";"Vacature-indicator";"%";1.35
"307500";"C Industrie";"2016MM05";"2016 mei";"Vacature-indicator";"%";0.47
"T001081";"A-U Alle economische activiteiten";"2016MM05";"2016 mei";"Vacature-indicator";"%";0.48
"300007";"G-N Commerciële dienstverlening";"2016MM06";"2016 juni";"Vacature-indicator";"%";0.41
"350000";"F Bouwnijverheid";"2016MM06";"2016 juni";"Vacature-indicator";"%";1.39
"307500";"C Industrie";"2016MM06";"2016 juni";"Vacature-indicator";"%";0.46
"T001081";"A-U Alle economische activiteiten";"2016MM06";"2016 juni";"Vacature-indicator";"%";0.48
"300007";"G-N Commerciële dienstverlening";"2016MM07";"2016 juli";"Vacature-indicator";"%";0.41
"350000";"F Bouwnijverheid";"2016MM07";"2016 juli";"Vacature-indicator";"%";1.41
"307500";"C Industrie";"2016MM07";"2016 juli";"Vacature-indicator";"%";0.41
"T001081";"A-U Alle economische activiteiten";"2016MM07";"2016 juli";"Vacature-indicator";"%";0.47
"300007";"G-N Commerciële dienstverlening";"2016MM08";"2016 augustus";"Vacature-indicator";"%";0.39
"350000";"F Bouwnijverheid";"2016MM08";"2016 augustus";"Vacature-indicator";"%";1.42
"307500";"C Industrie";"2016MM08";"2016 augustus";"Vacature-indicator";"%";0.33
"T001081";"A-U Alle economische activiteiten";"2016MM08";"2016 augustus";"Vacature-indicator";"%";0.45
"300007";"G-N Commerciële dienstverlening";"2016MM09";"2016 september";"Vacature-indicator";"%";0.38
"350000";"F Bouwnijverheid";"2016MM09";"2016 september";"Vacature-indicator";"%";1.43
"307500";"C Industrie";"2016MM09";"2016 september";"Vacature-indicator";"%";0.3
"T001081";"A-U Alle economische activiteiten";"2016MM09";"2016 september";"Vacature-indicator";"%";0.44
"300007";"G-N Commerciële dienstverlening";"2016MM10";"2016 oktober";"Vacature-indicator";"%";0.36
"350000";"F Bouwnijverheid";"2016MM10";"2016 oktober";"Vacature-indicator";"%";1.43
"307500";"C Industrie";"2016MM10";"2016 oktober";"Vacature-indicator";"%";0.29
"T001081";"A-U Alle economische activiteiten";"2016MM10";"2016 oktober";"Vacature-indicator";"%";0.42
"300007";"G-N Commerciële dienstverlening";"2016MM11";"2016 november";"Vacature-indicator";"%";0.35
"350000";"F Bouwnijverheid";"2016MM11";"2016 november";"Vacature-indicator";"%";1.41
"307500";"C Industrie";"2016MM11";"2016 november";"Vacature-indicator";"%";0.31
"T001081";"A-U Alle economische activiteiten";"2016MM11";"2016 november";"Vacature-indicator";"%";0.41
"300007";"G-N Commerciële dienstverlening";"2016MM12";"2016 december";"Vacature-indicator";"%";0.36
"350000";"F Bouwnijverheid";"2016MM12";"2016 december";"Vacature-indicator";"%";1.39
"307500";"C Industrie";"2016MM12";"2016 december";"Vacature-indicator";"%";0.38
"T001081";"A-U Alle economische activiteiten";"2016MM12";"2016 december";"Vacature-indicator";"%";0.43
"300007";"G-N Commerciële dienstverlening";"2017MM01";"2017 januari";"Vacature-indicator";"%";0.39
"350000";"F Bouwnijverheid";"2017MM01";"2017 januari";"Vacature-indicator";"%";1.36
"307500";"C Industrie";"2017MM01";"2017 januari";"Vacature-indicator";"%";0.53
"T001081";"A-U Alle economische activiteiten";"2017MM01";"2017 januari";"Vacature-indicator";"%";0.46
"300007";"G-N Commerciële dienstverlening";"2017MM02";"2017 februari";"Vacature-indicator";"%";0.42
"350000";"F Bouwnijverheid";"2017MM02";"2017 februari";"Vacature-indicator";"%";1.32
"307500";"C Industrie";"2017MM02";"2017 februari";"Vacature-indicator";"%";0.7
"T001081";"A-U Alle economische activiteiten";"2017MM02";"2017 februari";"Vacature-indicator";"%";0.5
"300007";"G-N Commerciële dienstverlening";"2017MM03";"2017 maart";"Vacature-indicator";"%";0.45
"350000";"F Bouwnijverheid";"2017MM03";"2017 maart";"Vacature-indicator";"%";1.29
"307500";"C Industrie";"2017MM03";"2017 maart";"Vacature-indicator";"%";0.86
"T001081";"A-U Alle economische activiteiten";"2017MM03";"2017 maart";"Vacature-indicator";"%";0.55
"300007";"G-N Commerciële dienstverlening";"2017MM04";"2017 april";"Vacature-indicator";"%";0.48
"350000";"F Bouwnijverheid";"2017MM04";"2017 april";"Vacature-indicator";"%";1.26
"307500";"C Industrie";"2017MM04";"2017 april";"Vacature-indicator";"%";0.95
"T001081";"A-U Alle economische activiteiten";"2017MM04";"2017 april";"Vacature-indicator";"%";0.58
"300007";"G-N Commerciële dienstverlening";"2017MM05";"2017 mei";"Vacature-indicator";"%";0.5
"350000";"F Bouwnijverheid";"2017MM05";"2017 mei";"Vacature-indicator";"%";1.25
"307500";"C Industrie";"2017MM05";"2017 mei";"Vacature-indicator";"%";0.99
"T001081";"A-U Alle economische activiteiten";"2017MM05";"2017 mei";"Vacature-indicator";"%";0.6
"300007";"G-N Commerciële dienstverlening";"2017MM06";"2017 juni";"Vacature-indicator";"%";0.53
"350000";"F Bouwnijverheid";"2017MM06";"2017 juni";"Vacature-indicator";"%";1.24
"307500";"C Industrie";"2017MM06";"2017 juni";"Vacature-indicator";"%";1.02
"T001081";"A-U Alle economische activiteiten";"2017MM06";"2017 juni";"Vacature-indicator";"%";0.63
"300007";"G-N Commerciële dienstverlening";"2017MM07";"2017 juli";"Vacature-indicator";"%";0.57
"350000";"F Bouwnijverheid";"2017MM07";"2017 juli";"Vacature-indicator";"%";1.23
"307500";"C Industrie";"2017MM07";"2017 juli";"Vacature-indicator";"%";1.07
"T001081";"A-U Alle economische activiteiten";"2017MM07";"2017 juli";"Vacature-indicator";"%";0.67
"300007";"G-N Commerciële dienstverlening";"2017MM08";"2017 augustus";"Vacature-indicator";"%";0.6
"350000";"F Bouwnijverheid";"2017MM08";"2017 augustus";"Vacature-indicator";"%";1.21
"307500";"C Industrie";"2017MM08";"2017 augustus";"Vacature-indicator";"%";1.13
"T001081";"A-U Alle economische activiteiten";"2017MM08";"2017 augustus";"Vacature-indicator";"%";0.71
"300007";"G-N Commerciële dienstverlening";"2017MM09";"2017 september";"Vacature-indicator";"%";0.63
"350000";"F Bouwnijverheid";"2017MM09";"2017 september";"Vacature-indicator";"%";1.17
"307500";"C Industrie";"2017MM09";"2017 september";"Vacature-indicator";"%";1.18
"T001081";"A-U Alle economische activiteiten";"2017MM09";"2017 september";"Vacature-indicator";"%";0.74
"300007";"G-N Commerciële dienstverlening";"2017MM10";"2017 oktober";"Vacature-indicator";"%";0.66
"350000";"F Bouwnijverheid";"2017MM10";"2017 oktober";"Vacature-indicator";"%";1.12
"307500";"C Industrie";"2017MM10";"2017 oktober";"Vacature-indicator";"%";1.18
"T001081";"A-U Alle economische activiteiten";"2017MM10";"2017 oktober";"Vacature-indicator";"%";0.75
"300007";"G-N Commerciële dienstverlening";"2017MM11";"2017 november";"Vacature-indicator";"%";0.68
"350000";"F Bouwnijverheid";"2017MM11";"2017 november";"Vacature-indicator";"%";1.5
"307500";"C Industrie";"2017MM11";"2017 november";"Vacature-indicator";"%";1.23
"T001081";"A-U Alle economische activiteiten";"2017MM11";"2017 november";"Vacature-indicator";"%";0.8
"300007";"G-N Commerciële dienstverlening";"2017MM12";"2017 december";"Vacature-indicator";"%";0.71
"350000";"F Bouwnijverheid";"2017MM12";"2017 december";"Vacature-indicator";"%";1.57
"307500";"C Industrie";"2017MM12";"2017 december";"Vacature-indicator";"%";1.29
"T001081";"A-U Alle economische activiteiten";"2017MM12";"2017 december";"Vacature-indicator";"%";0.84
"300007";"G-N Commerciële dienstverlening";"2018MM01";"2018 januari";"Vacature-indicator";"%";0.73
"350000";"F Bouwnijverheid";"2018MM01";"2018 januari";"Vacature-indicator";"%";1.61
"307500";"C Industrie";"2018MM01";"2018 januari";"Vacature-indicator";"%";1.35
"T001081";"A-U Alle economische activiteiten";"2018MM01";"2018 januari";"Vacature-indicator";"%";0.86
"300007";"G-N Commerciële dienstverlening";"2018MM02";"2018 februari";"Vacature-indicator";"%";0.72
"350000";"F Bouwnijverheid";"2018MM02";"2018 februari";"Vacature-indicator";"%";1.63
"307500";"C Industrie";"2018MM02";"2018 februari";"Vacature-indicator";"%";1.36
"T001081";"A-U Alle economische activiteiten";"2018MM02";"2018 februari";"Vacature-indicator";"%";0.86
"300007";"G-N Commerciële dienstverlening";"2018MM03";"2018 maart";"Vacature-indicator";"%";0.72
"350000";"F Bouwnijverheid";"2018MM03";"2018 maart";"Vacature-indicator";"%";1.62
"307500";"C Industrie";"2018MM03";"2018 maart";"Vacature-indicator";"%";1.31
"T001081";"A-U Alle economische activiteiten";"2018MM03";"2018 maart";"Vacature-indicator";"%";0.85
"300007";"G-N Commerciële dienstverlening";"2018MM04";"2018 april";"Vacature-indicator";"%";0.72
"350000";"F Bouwnijverheid";"2018MM04";"2018 april";"Vacature-indicator";"%";1.61
"307500";"C Industrie";"2018MM04";"2018 april";"Vacature-indicator";"%";1.23
"T001081";"A-U Alle economische activiteiten";"2018MM04";"2018 april";"Vacature-indicator";"%";0.83
"300007";"G-N Commerciële dienstverlening";"2018MM05";"2018 mei";"Vacature-indicator";"%";0.72
"350000";"F Bouwnijverheid";"2018MM05";"2018 mei";"Vacature-indicator";"%";1.59
"307500";"C Industrie";"2018MM05";"2018 mei";"Vacature-indicator";"%";1.14
"T001081";"A-U Alle economische activiteiten";"2018MM05";"2018 mei";"Vacature-indicator";"%";0.82
"300007";"G-N Commerciële dienstverlening";"2018MM06";"2018 juni";"Vacature-indicator";"%";0.71
"350000";"F Bouwnijverheid";"2018MM06";"2018 juni";"Vacature-indicator";"%";1.58
"307500";"C Industrie";"2018MM06";"2018 juni";"Vacature-indicator";"%";1.03
"T001081";"A-U Alle economische activiteiten";"2018MM06";"2018 juni";"Vacature-indicator";"%";0.81
"300007";"G-N Commerciële dienstverlening";"2018MM07";"2018 juli";"Vacature-indicator";"%";0.7
"350000";"F Bouwnijverheid";"2018MM07";"2018 juli";"Vacature-indicator";"%";1.53
"307500";"C Industrie";"2018MM07";"2018 juli";"Vacature-indicator";"%";0.94
"T001081";"A-U Alle economische activiteiten";"2018MM07";"2018 juli";"Vacature-indicator";"%";0.78
"300007";"G-N Commerciële dienstverlening";"2018MM08";"2018 augustus";"Vacature-indicator";"%";0.66
"350000";"F Bouwnijverheid";"2018MM08";"2018 augustus";"Vacature-indicator";"%";1.46
"307500";"C Industrie";"2018MM08";"2018 augustus";"Vacature-indicator";"%";0.86
"T001081";"A-U Alle economische activiteiten";"2018MM08";"2018 augustus";"Vacature-indicator";"%";0.74
"300007";"G-N Commerciële dienstverlening";"2018MM09";"2018 september";"Vacature-indicator";"%";0.62
"350000";"F Bouwnijverheid";"2018MM09";"2018 september";"Vacature-indicator";"%";1.38
"307500";"C Industrie";"2018MM09";"2018 september";"Vacature-indicator";"%";0.82
"T001081";"A-U Alle economische activiteiten";"2018MM09";"2018 september";"Vacature-indicator";"%";0.69
"300007";"G-N Commerciële dienstverlening";"2018MM10";"2018 oktober";"Vacature-indicator";"%";0.59
"350000";"F Bouwnijverheid";"2018MM10";"2018 oktober";"Vacature-indicator";"%";1.31
"307500";"C Industrie";"2018MM10";"2018 oktober";"Vacature-indicator";"%";0.79
"T001081";"A-U Alle economische activiteiten";"2018MM10";"2018 oktober";"Vacature-indicator";"%";0.66
"300007";"G-N Commerciële dienstverlening";"2018MM11";"2018 november";"Vacature-indicator";"%";0.56
"350000";"F Bouwnijverheid";"2018MM11";"2018 november";"Vacature-indicator";"%";1.25
"307500";"C Industrie";"2018MM11";"2018 november";"Vacature-indicator";"%";0.77
"T001081";"A-U Alle economische activiteiten";"2018MM11";"2018 november";"Vacature-indicator";"%";0.62
"300007";"G-N Commerciële dienstverlening";"2018MM12";"2018 december";"Vacature-indicator";"%";0.54
"350000";"F Bouwnijverheid";"2018MM12";"2018 december";"Vacature-indicator";"%";1.2
"307500";"C Industrie";"2018MM12";"2018 december";"Vacature-indicator";"%";0.73
"T001081";"A-U Alle economische activiteiten";"2018MM12";"2018 december";"Vacature-indicator";"%";0.6
"300007";"G-N Commerciële dienstverlening";"2019MM01";"2019 januari";"Vacature-indicator";"%";0.53
"350000";"F Bouwnijverheid";"2019MM01";"2019 januari";"Vacature-indicator";"%";1.17
"307500";"C Industrie";"2019MM01";"2019 januari";"Vacature-indicator";"%";0.66
"T001081";"A-U Alle economische activiteiten";"2019MM01";"2019 januari";"Vacature-indicator";"%";0.58
"300007";"G-N Commerciële dienstverlening";"2019MM02";"2019 februari";"Vacature-indicator";"%";0.51
"350000";"F Bouwnijverheid";"2019MM02";"2019 februari";"Vacature-indicator";"%";1.14
"307500";"C Industrie";"2019MM02";"2019 februari";"Vacature-indicator";"%";0.55
"T001081";"A-U Alle economische activiteiten";"2019MM02";"2019 februari";"Vacature-indicator";"%";0.56
"300007";"G-N Commerciële dienstverlening";"2019MM03";"2019 maart";"Vacature-indicator";"%";0.48
"350000";"F Bouwnijverheid";"2019MM03";"2019 maart";"Vacature-indicator";"%";1.08
"307500";"C Industrie";"2019MM03";"2019 maart";"Vacature-indicator";"%";0.43
"T001081";"A-U Alle economische activiteiten";"2019MM03";"2019 maart";"Vacature-indicator";"%";0.52
"300007";"G-N Commerciële dienstverlening";"2019MM04";"2019 april";"Vacature-indicator";"%";0.45
"350000";"F Bouwnijverheid";"2019MM04";"2019 april";"Vacature-indicator";"%";1.01
"307500";"C Industrie";"2019MM04";"2019 april";"Vacature-indicator";"%";0.32
"T001081";"A-U Alle economische activiteiten";"2019MM04";"2019 april";"Vacature-indicator";"%";0.48
"300007";"G-N Commerciële dienstverlening";"2019MM05";"2019 mei";"Vacature-indicator";"%";0.42
"350000";"F Bouwnijverheid";"2019MM05";"2019 mei";"Vacature-indicator";"%";0.93
"307500";"C Industrie";"2019MM05";"2019 mei";"Vacature-indicator";"%";0.22
"T001081";"A-U Alle economische activiteiten";"2019MM05";"2019 mei";"Vacature-indicator";"%";0.44
"300007";"G-N Commerciële dienstverlening";"2019MM06";"2019 juni";"Vacature-indicator";"%";0.38
"350000";"F Bouwnijverheid";"2019MM06";"2019 juni";"Vacature-indicator";"%";0.81
"307500";"C Industrie";"2019MM06";"2019 juni";"Vacature-indicator";"%";0.14
"T001081";"A-U Alle economische activiteiten";"2019MM06";"2019 juni";"Vacature-indicator";"%";0.38
"300007";"G-N Commerciële dienstverlening";"2019MM07";"2019 juli";"Vacature-indicator";"%";0.34
"350000";"F Bouwnijverheid";"2019MM07";"2019 juli";"Vacature-indicator";"%";0.68
"307500";"C Industrie";"2019MM07";"2019 juli";"Vacature-indicator";"%";0.09
"T001081";"A-U Alle economische activiteiten";"2019MM07";"2019 juli";"Vacature-indicator";"%";0.33
"300007";"G-N Commerciële dienstverlening";"2019MM08";"2019 augustus";"Vacature-indicator";"%";0.31
"350000";"F Bouwnijverheid";"2019MM08";"2019 augustus";"Vacature-indicator";"%";0.56
"307500";"C Industrie";"2019MM08";"2019 augustus";"Vacature-indicator";"%";0.07
"T001081";"A-U Alle economische activiteiten";"2019MM08";"2019 augustus";"Vacature-indicator";"%";0.29
"300007";"G-N Commerciële dienstverlening";"2019MM09";"2019 september";"Vacature-indicator";"%";0.28
"350000";"F Bouwnijverheid";"2019MM09";"2019 september";"Vacature-indicator";"%";0.46
"307500";"C Industrie";"2019MM09";"2019 september";"Vacature-indicator";"%";0.07
"T001081";"A-U Alle economische activiteiten";"2019MM09";"2019 september";"Vacature-indicator";"%";0.26
"300007";"G-N Commerciële dienstverlening";"2019MM10";"2019 oktober";"Vacature-indicator";"%";0.25
"350000";"F Bouwnijverheid";"2019MM10";"2019 oktober";"Vacature-indicator";"%";0.37
"307500";"C Industrie";"2019MM10";"2019 oktober";"Vacature-indicator";"%";0.08
"T001081";"A-U Alle economische activiteiten";"2019MM10";"2019 oktober";"Vacature-indicator";"%";0.24
"300007";"G-N Commerciële dienstverlening";"2019MM11";"2019 november";"Vacature-indicator";"%";0.27
"350000";"F Bouwnijverheid";"2019MM11";"2019 november";"Vacature-indicator";"%";0.27
"307500";"C Industrie";"2019MM11";"2019 november";"Vacature-indicator";"%";0.12
"T001081";"A-U Alle economische activiteiten";"2019MM11";"2019 november";"Vacature-indicator";"%";0.26
"300007";"G-N Commerciële dienstverlening";"2019MM12";"2019 december";"Vacature-indicator";"%";0.23
"350000";"F Bouwnijverheid";"2019MM12";"2019 december";"Vacature-indicator";"%";0.15
"307500";"C Industrie";"2019MM12";"2019 december";"Vacature-indicator";"%";0.07
"T001081";"A-U Alle economische activiteiten";"2019MM12";"2019 december";"Vacature-indicator";"%";0.21
"300007";"G-N Commerciële dienstverlening";"2020MM01";"2020 januari";"Vacature-indicator";"%";0.08
"350000";"F Bouwnijverheid";"2020MM01";"2020 januari";"Vacature-indicator";"%";0.02
"307500";"C Industrie";"2020MM01";"2020 januari";"Vacature-indicator";"%";-0.19
"T001081";"A-U Alle economische activiteiten";"2020MM01";"2020 januari";"Vacature-indicator";"%";0.06
"300007";"G-N Commerciële dienstverlening";"2020MM02";"2020 februari";"Vacature-indicator";"%";-0.15
"350000";"F Bouwnijverheid";"2020MM02";"2020 februari";"Vacature-indicator";"%";-0.14
"307500";"C Industrie";"2020MM02";"2020 februari";"Vacature-indicator";"%";-0.5
"T001081";"A-U Alle economische activiteiten";"2020MM02";"2020 februari";"Vacature-indicator";"%";-0.18
"300007";"G-N Commerciële dienstverlening";"2020MM03";"2020 maart";"Vacature-indicator";"%";-0.47
"350000";"F Bouwnijverheid";"2020MM03";"2020 maart";"Vacature-indicator";"%";-0.31
"307500";"C Industrie";"2020MM03";"2020 maart";"Vacature-indicator";"%";-1
"T001081";"A-U Alle economische activiteiten";"2020MM03";"2020 maart";"Vacature-indicator";"%";-0.52
"300007";"G-N Commerciële dienstverlening";"2020MM04";"2020 april";"Vacature-indicator";"%";-0.88
"350000";"F Bouwnijverheid";"2020MM04";"2020 april";"Vacature-indicator";"%";-0.47
"307500";"C Industrie";"2020MM04";"2020 april";"Vacature-indicator";"%";-1.69
"T001081";"A-U Alle economische activiteiten";"2020MM04";"2020 april";"Vacature-indicator";"%";-0.96
"300007";"G-N Commerciële dienstverlening";"2020MM05";"2020 mei";"Vacature-indicator";"%";-1.12
"350000";"F Bouwnijverheid";"2020MM05";"2020 mei";"Vacature-indicator";"%";-0.59
"307500";"C Industrie";"2020MM05";"2020 mei";"Vacature-indicator";"%";-1.92
"T001081";"A-U Alle economische activiteiten";"2020MM05";"2020 mei";"Vacature-indicator";"%";-1.19
"300007";"G-N Commerciële dienstverlening";"2020MM06";"2020 juni";"Vacature-indicator";"%";-1.18
"350000";"F Bouwnijverheid";"2020MM06";"2020 juni";"Vacature-indicator";"%";-0.68
"307500";"C Industrie";"2020MM06";"2020 juni";"Vacature-indicator";"%";-1.76
"T001081";"A-U Alle economische activiteiten";"2020MM06";"2020 juni";"Vacature-indicator";"%";-1.23
"300007";"G-N Commerciële dienstverlening";"2020MM07";"2020 juli";"Vacature-indicator";"%";-1.09
"350000";"F Bouwnijverheid";"2020MM07";"2020 juli";"Vacature-indicator";"%";-0.71
"307500";"C Industrie";"2020MM07";"2020 juli";"Vacature-indicator";"%";-1.36
"T001081";"A-U Alle economische activiteiten";"2020MM07";"2020 juli";"Vacature-indicator";"%";-1.11
"300007";"G-N Commerciële dienstverlening";"2020MM08";"2020 augustus**";"Vacature-indicator";"%";-0.9
"350000";"F Bouwnijverheid";"2020MM08";"2020 augustus**";"Vacature-indicator";"%";-0.68
"307500";"C Industrie";"2020MM08";"2020 augustus**";"Vacature-indicator";"%";-0.96
"T001081";"A-U Alle economische activiteiten";"2020MM08";"2020 augustus**";"Vacature-indicator";"%";-0.9
"300007";"G-N Commerciële dienstverlening";"2020MM09";"2020 september**";"Vacature-indicator";"%";-0.73
"350000";"F Bouwnijverheid";"2020MM09";"2020 september**";"Vacature-indicator";"%";-0.62
"307500";"C Industrie";"2020MM09";"2020 september**";"Vacature-indicator";"%";-0.66
"T001081";"A-U Alle economische activiteiten";"2020MM09";"2020 september**";"Vacature-indicator";"%";-0.71
"300007";"G-N Commerciële dienstverlening";"2020MM10";"2020 oktober**";"Vacature-indicator";"%";-0.57
"350000";"F Bouwnijverheid";"2020MM10";"2020 oktober**";"Vacature-indicator";"%";-0.53
"307500";"C Industrie";"2020MM10";"2020 oktober**";"Vacature-indicator";"%";-0.46
"T001081";"A-U Alle economische activiteiten";"2020MM10";"2020 oktober**";"Vacature-indicator";"%";-0.55
"300007";"G-N Commerciële dienstverlening";"2020MM11";"2020 november**";"Vacature-indicator";"%";-0.43
"350000";"F Bouwnijverheid";"2020MM11";"2020 november**";"Vacature-indicator";"%";-0.43
"307500";"C Industrie";"2020MM11";"2020 november**";"Vacature-indicator";"%";-0.3
"T001081";"A-U Alle economische activiteiten";"2020MM11";"2020 november**";"Vacature-indicator";"%";-0.41
"300007";"G-N Commerciële dienstverlening";"2020MM12";"2020 december**";"Vacature-indicator";"%";-0.31
"350000";"F Bouwnijverheid";"2020MM12";"2020 december**";"Vacature-indicator";"%";-0.32
"307500";"C Industrie";"2020MM12";"2020 december**";"Vacature-indicator";"%";-0.12
"T001081";"A-U Alle economische activiteiten";"2020MM12";"2020 december**";"Vacature-indicator";"%";-0.28
"300007";"G-N Commerciële dienstverlening";"2021MM01";"2021 januari*";"Vacature-indicator";"%";-0.19
"350000";"F Bouwnijverheid";"2021MM01";"2021 januari*";"Vacature-indicator";"%";-0.21
"307500";"C Industrie";"2021MM01";"2021 januari*";"Vacature-indicator";"%";0.08
"T001081";"A-U Alle economische activiteiten";"2021MM01";"2021 januari*";"Vacature-indicator";"%";-0.16